P37.8,P56,P58,P60,P61,P1,P2,F.EXPANSIÓN,P59.1,P59.2,P59.3,P59.4,P59.5,P59.6,P59.7,P59.8,P59.9
0,2,1,1,4,2,53,31.98051948051948,1,0,0,0,0,0,0,0,0
1,2,2,0,0,1,47,31.98051948051948,0,0,0,0,0,0,0,0,0
1,1,2,0,0,1,54,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,62,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,55,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,73,441.3291536050157,0,0,0,0,0,0,0,0,0
1,3,1,1,1,1,40,441.3291536050157,1,0,0,0,0,0,1,1,0
0,3,2,0,0,1,65,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,53,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,60,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,53,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,62,23.20769230769231,1,1,0,0,0,0,0,0,0
0,3,2,0,0,1,54,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,58,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,79,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,71,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,42,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,51,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,43,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,52,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,50,31.98051948051948,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,55,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,46,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,30,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,50,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,72,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,50,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,57,212.26854219948848,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,55,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,49,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,46,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,48,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,1,1,1,1,72,35.528301886792455,1,0,0,0,0,0,0,0,0
0,2,2,0,0,1,69,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,37,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,43,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,46,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,52,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,62,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,52,59.11851851851852,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,75,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,441.3291536050157,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,37,23.20769230769231,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,85,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,1,1,59,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,62,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,63,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,68,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,40,23.20769230769231,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,46,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,49,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,64,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,50,31.98051948051948,0,0,0,0,0,0,0,0,0
