P37_8,P56,P60,P1,P2,PONDERA,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,3,0,1,55,90.4739583333333,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,8.0,,,,,,,
0,2,0,1,81,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,2,0,2,59,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,7.0,,,,,,,
0,2,0,1,44,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,8.0,7.0,,,,,
0,3,0,2,26,67.5442185508479,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,2.0,,,,,,,
0,3,0,1,44,90.4739583333333,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,3.0,,,,,,,
0,2,0,1,36,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,8.0,,,,,,,
0,2,0,2,49,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,2,1,1,33,67.5442185508479,1,0,0,0,1,1,1,0,0,2.0,4.0,,,,,,,3.0,7.0,,,,,,
0,3,0,1,69,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,1.0,7.0,,,,,,1.0,2.0,,,,,,
0,2,0,1,38,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,4.0,5.0,,,,,,7.0,4.0,8.0,,,,,
0,1,0,2,47,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,5.0,3.0,,,,,,
0,2,1,1,50,192.265465869145,1,0,1,0,1,0,0,1,0,5.0,,,,,,,,8.0,,,,,,,
0,2,0,1,59,184.06779661017,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
